galaxy,model,chi2,dof,chi2_red,Yd,Yb,n_data,has_bulge
CamB,Holographic,164.4765,8,20.5596,0.0100,0.0000,9,False
D564-8,Holographic,9.4889,5,1.8978,0.0100,0.0000,6,False
D631-7,Holographic,146.7295,15,9.7820,0.0100,0.0000,16,False
DDO064,Holographic,3.7536,13,0.2887,0.4414,0.0000,14,False
DDO154,Holographic,1.3152,11,0.1196,0.0340,0.0000,12,False
DDO161,Holographic,479.4015,30,15.9800,0.0100,0.0000,31,False
DDO168,Holographic,61.2401,9,6.8045,0.0100,0.0000,10,False
DDO170,Holographic,67.1420,7,9.5917,0.0100,0.0000,8,False
ESO079-G014,Holographic,35.9933,14,2.5709,0.6146,0.0000,15,False
ESO116-G012,Holographic,38.4770,14,2.7484,0.7042,0.0000,15,False
ESO444-G084,Holographic,24.9347,6,4.1558,2.5831,0.0000,7,False
ESO563-G021,Holographic,264.8799,29,9.1338,0.7378,0.0000,30,False
F561-1,Holographic,41.5074,5,8.3015,0.0100,0.0000,6,False
F563-1,Holographic,16.4901,16,1.0306,1.8914,0.0000,17,False
F563-V1,Holographic,89.0546,5,17.8109,0.0100,0.0000,6,False
F563-V2,Holographic,3.0181,9,0.3353,2.2844,0.0000,10,False
F565-V2,Holographic,2.5081,6,0.4180,1.4637,0.0000,7,False
F567-2,Holographic,13.0799,4,3.2700,0.2906,0.0000,5,False
F568-1,Holographic,8.3480,11,0.7589,2.0922,0.0000,12,False
F568-3,Holographic,43.7345,17,2.5726,0.4792,0.0000,18,False
F568-V1,Holographic,3.5989,14,0.2571,2.1805,0.0000,15,False
F571-8,Holographic,325.2575,12,27.1048,0.3534,0.0000,13,False
F571-V1,Holographic,1.1973,6,0.1995,0.3612,0.0000,7,False
F574-1,Holographic,24.3085,13,1.8699,0.7698,0.0000,14,False
F574-2,Holographic,41.7147,4,10.4287,0.0100,0.0000,5,False
F579-V1,Holographic,30.9457,13,2.3804,0.8794,0.0000,14,False
F583-1,Holographic,42.0116,24,1.7505,1.0172,0.0000,25,False
F583-4,Holographic,1.2294,11,0.1118,0.3897,0.0000,12,False
IC2574,Holographic,19.0400,33,0.5770,0.0375,0.0000,34,False
IC4202,Holographic,233.1431,30,7.7714,0.8949,0.0973,32,True
KK98-251,Holographic,216.9255,14,15.4947,0.0100,0.0000,15,False
NGC0024,Holographic,11.7636,28,0.4201,1.3319,0.0000,29,False
NGC0055,Holographic,11.3369,20,0.5668,0.0100,0.0000,21,False
NGC0100,Holographic,29.5778,20,1.4789,0.4523,0.0000,21,False
NGC0247,Holographic,28.0330,25,1.1213,0.5658,0.0000,26,False
NGC0289,Holographic,75.4035,27,2.7927,0.3629,0.0000,28,False
NGC0300,Holographic,20.6206,24,0.8592,0.6582,0.0000,25,False
NGC0801,Holographic,79.7764,12,6.6480,0.4008,0.0000,13,False
NGC0891,Holographic,39.0696,16,2.4419,0.3784,0.5940,18,True
NGC1003,Holographic,41.0310,35,1.1723,0.3850,0.0000,36,False
NGC1090,Holographic,44.1440,23,1.9193,0.3907,0.0000,24,False
NGC1705,Holographic,4.9611,13,0.3816,1.8029,0.0000,14,False
NGC2366,Holographic,80.9886,25,3.2395,0.0438,0.0000,26,False
